,key_id,referee_id,family_name,given_name,female,country_name,confederation_id,confederation_name,confederation_code,referee_wikipedia_link
375,376,R-376,Rocchi,Gianluca,0,Italy,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Gianluca_Rocchi
376,377,R-377,Rodríguez,Marco Antonio,0,Mexico,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Marco_Antonio_Rodr%C3%ADguez
377,378,R-378,Rodríguez Medina,Rafael,0,El Salvador,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,not available
378,379,R-379,Roldán,Wilmar,0,Colombia,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Wilmar_Rold%C3%A1n
379,380,R-380,Romano,Florencia,1,Argentina,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Florencia_Romano
380,381,R-381,Rosetti,Roberto,0,Italy,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Roberto_Rosetti
381,382,R-382,Roth,Volker,0,West Germany,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Volker_Roth
382,383,R-383,Röthlisberger,Kurt,0,Switzerland,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Kurt_R%C3%B6thlisberger
383,384,R-384,Ruiz,Óscar,0,Colombia,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/%C3%93scar_Ruiz
384,385,R-385,Rumenchev,Dimitar,0,Bulgaria,CF-6,Union of European Football Associations,UEFA,not available
385,386,R-386,Sampaio,Wilton,0,Brazil,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Wilton_Sampaio
386,387,R-387,Sánchez,Ángel,0,Argentina,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/%C3%81ngel_S%C3%A1nchez_(referee)
387,388,R-388,Sánchez Arminio,Victoriano,0,Spain,CF-6,Union of European Football Associations,UEFA,not available
388,389,R-389,Sánchez Ibáñez,Pablo,0,Spain,CF-6,Union of European Football Associations,UEFA,not available
389,390,R-390,Sánchez Yantén,Mario,0,Chile,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Mario_S%C3%A1nchez_Yant%C3%A9n
390,391,R-391,Saucedo,Ulises,0,Bolivia,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Ulises_Saucedo
391,392,R-392,Sbardella,Antonio,0,Italy,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Antonio_Sbardella
392,393,R-393,Scarpi,Giuseppe,0,Italy,CF-6,Union of European Football Associations,UEFA,not available
393,394,R-394,Scheurer,Rudolf,0,Switzerland,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Rudolf_Scheurer
394,395,R-395,Schmetzer,Emil,0,West Germany,CF-6,Union of European Football Associations,UEFA,not available
395,396,R-396,Schmidhuber,Aron,0,West Germany,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Aron_Schmidhuber
396,397,R-397,Schulenburg,Gerhard,0,West Germany,CF-6,Union of European Football Associations,UEFA,not available
397,398,R-398,Schwinte,Pierre,0,France,CF-6,Union of European Football Associations,UEFA,not available
